additional_id,comments,non_compliance,source,source_type,entry_date,alternative_source,link,log_type,targeted_pop_group
0,,,,,,,,,
1,A COVID-19 lab is opened using Government of Afghanistan funds.  The hospital is expected to be completed on or about April 7.,,Afghanistan MoPH,Government,2020-04-07,https://af.usembassy.gov/covid-19-information/ ,https://www.facebook.com/af.moph/posts/1060980997604412?__tn__=-R,Introduction / extension of measures,No
2,Machines for health care were sent to Herat Province today ,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/photos/a.462600827442435/1057778487924663/?type=3&theater ,Introduction / extension of measures,No
3,Supplies from China received today ,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1057171484652030?__tn__=-R,Introduction / extension of measures,No
4,2nd diagnostic lab opened today ,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1055005361535309?__tn__=-R,Introduction / extension of measures,No
5,"The Afghan Ministries of Public Health and Interior jointly announced that the city of Kabul would be placed on lockdown for 21 days due to spread of the COVID-19 coronavirus. Residents may only move outside their homes to obtain essential food and medicine; and provide caregiving. According to the government, vehicles carrying more than four passengers, as well as buses, are prohibited from traveling in and out of Kabul. ",,US Embassy,Government,2020-04-07,,https://af.usembassy.gov/message-for-u-s-citizens-movement-restrictions-in-kabul-march-27-2020/,Introduction / extension of measures,Yes
6,"U.S.A. is added to the list of countries that, if you’ve traveled there in the past 2 weeks, you could have the virus.",,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1053537348348777?__tn__=-R,Introduction / extension of measures,Yes
7,"MoPH asks people not to come to health center for testing because it wastes resources and risks contracting the virus from an actual sick person at the facility. They ask those people who may have been in contact with this virus who have not seen symptoms to self-isolate for 14 days & contact provincial health teams if they have fever, cough, or problems breathing. ",,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1053537348348777?__tn__=-R,Introduction / extension of measures,Yes
8,Call for more health care workers to be employed by the government in the fight against covid-19  ,,Afghanistan MoPH,Government,2020-04-07,https://www.facebook.com/af.moph/posts/1054941988208313?__tn__=-R,https://www.facebook.com/af.moph/posts/1051043478598164?__tn__=-R,Introduction / extension of measures,Yes
9,"In addition to the National Public Health Lab in Kabul, an additional lab in Herat began COVID-19 testing on March 22, and a lab in Mazar-e-Sharif is planned to begin operations soon.  Total testing capacity once the additional labs are operating is expected to be 150-250 tests per day.",,US Embassy,Government,2020-04-07,,https://af.usembassy.gov/covid-19-information/,Introduction / extension of measures,Yes
10,People should avoid official and non-official protests (gatherings?) to prevent the spread of coronavirus. ,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1048731302162715?__tn__=-R,Introduction / extension of measures,No
11,“Emergency state” announced but people are not cooperating in Herat ,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1047448245624354?__tn__=-R,Introduction / extension of measures,No
12,"Installed new heat censor machines to detect fever at passengers coming through ports of entry into the country and ports into and out of Herat Province (the epicenter of the outbreak in Afghanistan, at this point in time). ",,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1046184142417431?__tn__=-R,Introduction / extension of measures,Yes
13,"If you have come back from the countries of Iran, China, Italy and South Korea within the last 2 weeks, or you have been in touch with people who have returned from these countries and have a fever, cough, loss and breath at this number. Please get in touch so that the health teams of the ministry of public health will help you too.",,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1046229059079606?__tn__=-R,Introduction / extension of measures,Yes
14,Coronavirus diagnostic lab was opened in Herat Province,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1046491739053338?__tn__=-R,Introduction / extension of measures,Yes
15,"School closures until ""the end of the month"" (Afghanistan uses the Solar Hijri calendar) ",,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1043286092707236?__tn__=-R,Introduction / extension of measures,No
16,New awareness campaign to “prevent the spread of coronavirus” ,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1040295806339598?__tn__=-R,Introduction / extension of measures,No
17,"Medical students are now allowed to practice, in order to build capacity ",,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1033521473683698?__tn__=-R,Introduction / extension of measures,Yes
18,,,OCHA,UN,2020-03-14,,https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf,Introduction / extension of measures,No
19,all public gatherings banned,,OCHA,UN,2020-03-14,,https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf,Introduction / extension of measures,No
20,,,OCHA,UN,2020-03-14,,https://reliefweb.int/sites/reliefweb.int/files/resources/20200312-sitrep-covid-19.pdf,Introduction / extension of measures,No
21,Food imports from Iran and Afghanistan has been limited,,US Embassy ,Government,2020-03-14,,https://af.usembassy.gov/covid-19-information/,Introduction / extension of measures,No
22,"Increased the screened teams on the ground and air border, especially the provinces of the border with Iran to identify the people with this virus (Midday Province). ",,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1030421290660383?__tn__=-R,Introduction / extension of measures,Yes
23,Closure of borders with Iran,,Guardian,Media,2020-03-14,,https://www.theguardian.com/global-development/2020/feb/26/coronavirus-in-a-war-zone-afghanistan-braces-for-outbreak-after-first-case,Introduction / extension of measures,No
24,Avoid domestic travel to the Herat province. ,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1028193360883176?__tn__=-R,Introduction / extension of measures,Yes
