date_id,date_rep,year,month,day,day_of_the_week,day_name,month_name,month_name_abbr,week_of_the_year,is_weekend,quarter
0,2019-12-31,2019,12,31,1,Tuesday,December,Dec,1,0,4
1,2020-01-01,2020,1,1,2,Wednsday,January,Jan,1,0,1
2,2020-01-02,2020,1,2,3,Thursday,January,Jan,1,0,1
3,2020-01-03,2020,1,3,4,Friday,January,Jan,1,0,1
4,2020-01-04,2020,1,4,5,Saturday,January,Jan,1,1,1
5,2020-01-05,2020,1,5,6,Sunday,January,Jan,1,1,1
6,2020-01-06,2020,1,6,0,Monday,January,Jan,2,0,1
7,2020-01-07,2020,1,7,1,Tuesday,January,Jan,2,0,1
8,2020-01-08,2020,1,8,2,Wednsday,January,Jan,2,0,1
9,2020-01-09,2020,1,9,3,Thursday,January,Jan,2,0,1
10,2020-01-10,2020,1,10,4,Friday,January,Jan,2,0,1
11,2020-01-11,2020,1,11,5,Saturday,January,Jan,2,1,1
12,2020-01-12,2020,1,12,6,Sunday,January,Jan,2,1,1
13,2020-01-13,2020,1,13,0,Monday,January,Jan,3,0,1
14,2020-01-14,2020,1,14,1,Tuesday,January,Jan,3,0,1
15,2020-01-15,2020,1,15,2,Wednsday,January,Jan,3,0,1
16,2020-01-16,2020,1,16,3,Thursday,January,Jan,3,0,1
17,2020-01-17,2020,1,17,4,Friday,January,Jan,3,0,1
18,2020-01-18,2020,1,18,5,Saturday,January,Jan,3,1,1
19,2020-01-19,2020,1,19,6,Sunday,January,Jan,3,1,1
20,2020-01-20,2020,1,20,0,Monday,January,Jan,4,0,1
21,2020-01-21,2020,1,21,1,Tuesday,January,Jan,4,0,1
22,2020-01-22,2020,1,22,2,Wednsday,January,Jan,4,0,1
23,2020-01-23,2020,1,23,3,Thursday,January,Jan,4,0,1
24,2020-01-24,2020,1,24,4,Friday,January,Jan,4,0,1
25,2020-01-25,2020,1,25,5,Saturday,January,Jan,4,1,1
26,2020-01-26,2020,1,26,6,Sunday,January,Jan,4,1,1
27,2020-01-27,2020,1,27,0,Monday,January,Jan,5,0,1
28,2020-01-28,2020,1,28,1,Tuesday,January,Jan,5,0,1
29,2020-01-29,2020,1,29,2,Wednsday,January,Jan,5,0,1
30,2020-01-30,2020,1,30,3,Thursday,January,Jan,5,0,1
31,2020-01-31,2020,1,31,4,Friday,January,Jan,5,0,1
32,2020-02-01,2020,2,1,5,Saturday,February,Feb,5,1,1
33,2020-02-02,2020,2,2,6,Sunday,February,Feb,5,1,1
34,2020-02-03,2020,2,3,0,Monday,February,Feb,6,0,1
35,2020-02-04,2020,2,4,1,Tuesday,February,Feb,6,0,1
36,2020-02-05,2020,2,5,2,Wednsday,February,Feb,6,0,1
37,2020-02-06,2020,2,6,3,Thursday,February,Feb,6,0,1
38,2020-02-07,2020,2,7,4,Friday,February,Feb,6,0,1
39,2020-02-08,2020,2,8,5,Saturday,February,Feb,6,1,1
40,2020-02-09,2020,2,9,6,Sunday,February,Feb,6,1,1
41,2020-02-10,2020,2,10,0,Monday,February,Feb,7,0,1
42,2020-02-11,2020,2,11,1,Tuesday,February,Feb,7,0,1
43,2020-02-12,2020,2,12,2,Wednsday,February,Feb,7,0,1
44,2020-02-13,2020,2,13,3,Thursday,February,Feb,7,0,1
45,2020-02-14,2020,2,14,4,Friday,February,Feb,7,0,1
46,2020-02-15,2020,2,15,5,Saturday,February,Feb,7,1,1
47,2020-02-16,2020,2,16,6,Sunday,February,Feb,7,1,1
48,2020-02-17,2020,2,17,0,Monday,February,Feb,8,0,1
49,2020-02-18,2020,2,18,1,Tuesday,February,Feb,8,0,1
50,2020-02-19,2020,2,19,2,Wednsday,February,Feb,8,0,1
51,2020-02-20,2020,2,20,3,Thursday,February,Feb,8,0,1
52,2020-02-21,2020,2,21,4,Friday,February,Feb,8,0,1
53,2020-02-22,2020,2,22,5,Saturday,February,Feb,8,1,1
54,2020-02-23,2020,2,23,6,Sunday,February,Feb,8,1,1
55,2020-02-24,2020,2,24,0,Monday,February,Feb,9,0,1
56,2020-02-25,2020,2,25,1,Tuesday,February,Feb,9,0,1
57,2020-02-26,2020,2,26,2,Wednsday,February,Feb,9,0,1
58,2020-02-27,2020,2,27,3,Thursday,February,Feb,9,0,1
59,2020-02-28,2020,2,28,4,Friday,February,Feb,9,0,1
60,2020-02-29,2020,2,29,5,Saturday,February,Feb,9,1,1
61,2020-03-01,2020,3,1,6,Sunday,March,Mar,9,1,1
62,2020-03-02,2020,3,2,0,Monday,March,Mar,10,0,1
63,2020-03-03,2020,3,3,1,Tuesday,March,Mar,10,0,1
64,2020-03-04,2020,3,4,2,Wednsday,March,Mar,10,0,1
65,2020-03-05,2020,3,5,3,Thursday,March,Mar,10,0,1
66,2020-03-06,2020,3,6,4,Friday,March,Mar,10,0,1
67,2020-03-07,2020,3,7,5,Saturday,March,Mar,10,1,1
68,2020-03-08,2020,3,8,6,Sunday,March,Mar,10,1,1
69,2020-03-09,2020,3,9,0,Monday,March,Mar,11,0,1
70,2020-03-10,2020,3,10,1,Tuesday,March,Mar,11,0,1
71,2020-03-11,2020,3,11,2,Wednsday,March,Mar,11,0,1
72,2020-03-12,2020,3,12,3,Thursday,March,Mar,11,0,1
73,2020-03-13,2020,3,13,4,Friday,March,Mar,11,0,1
74,2020-03-14,2020,3,14,5,Saturday,March,Mar,11,1,1
75,2020-03-15,2020,3,15,6,Sunday,March,Mar,11,1,1
76,2020-03-16,2020,3,16,0,Monday,March,Mar,12,0,1
77,2020-03-17,2020,3,17,1,Tuesday,March,Mar,12,0,1
78,2020-03-18,2020,3,18,2,Wednsday,March,Mar,12,0,1
79,2020-03-19,2020,3,19,3,Thursday,March,Mar,12,0,1
80,2020-03-20,2020,3,20,4,Friday,March,Mar,12,0,1
81,2020-03-21,2020,3,21,5,Saturday,March,Mar,12,1,1
82,2020-03-22,2020,3,22,6,Sunday,March,Mar,12,1,1
83,2020-03-23,2020,3,23,0,Monday,March,Mar,13,0,1
84,2020-03-24,2020,3,24,1,Tuesday,March,Mar,13,0,1
85,2020-03-25,2020,3,25,2,Wednsday,March,Mar,13,0,1
86,2020-03-26,2020,3,26,3,Thursday,March,Mar,13,0,1
87,2020-03-27,2020,3,27,4,Friday,March,Mar,13,0,1
88,2020-03-28,2020,3,28,5,Saturday,March,Mar,13,1,1
89,2020-03-29,2020,3,29,6,Sunday,March,Mar,13,1,1
90,2020-03-30,2020,3,30,0,Monday,March,Mar,14,0,1
91,2020-03-31,2020,3,31,1,Tuesday,March,Mar,14,0,1
92,2020-04-01,2020,4,1,2,Wednsday,April,Apr,14,0,2
93,2020-04-02,2020,4,2,3,Thursday,April,Apr,14,0,2
94,2020-04-03,2020,4,3,4,Friday,April,Apr,14,0,2
95,2020-04-04,2020,4,4,5,Saturday,April,Apr,14,1,2
96,2020-04-05,2020,4,5,6,Sunday,April,Apr,14,1,2
97,2020-04-06,2020,4,6,0,Monday,April,Apr,15,0,2
98,2020-04-07,2020,4,7,1,Tuesday,April,Apr,15,0,2
99,2020-04-08,2020,4,8,2,Wednsday,April,Apr,15,0,2
100,2020-04-09,2020,4,9,3,Thursday,April,Apr,15,0,2
101,2020-04-10,2020,4,10,4,Friday,April,Apr,15,0,2
102,2020-04-11,2020,4,11,5,Saturday,April,Apr,15,1,2
103,2020-04-12,2020,4,12,6,Sunday,April,Apr,15,1,2
104,2020-04-13,2020,4,13,0,Monday,April,Apr,16,0,2
105,2020-04-14,2020,4,14,1,Tuesday,April,Apr,16,0,2
106,2020-04-15,2020,4,15,2,Wednsday,April,Apr,16,0,2
107,2020-04-16,2020,4,16,3,Thursday,April,Apr,16,0,2
108,2020-04-17,2020,4,17,4,Friday,April,Apr,16,0,2
109,2020-04-18,2020,4,18,5,Saturday,April,Apr,16,1,2
110,2020-04-19,2020,4,19,6,Sunday,April,Apr,16,1,2
111,2020-04-20,2020,4,20,0,Monday,April,Apr,17,0,2
112,2020-04-21,2020,4,21,1,Tuesday,April,Apr,17,0,2
113,2020-04-22,2020,4,22,2,Wednsday,April,Apr,17,0,2
114,2020-04-23,2020,4,23,3,Thursday,April,Apr,17,0,2
115,2020-04-24,2020,4,24,4,Friday,April,Apr,17,0,2
116,2020-04-25,2020,4,25,5,Saturday,April,Apr,17,1,2
117,2020-04-26,2020,4,26,6,Sunday,April,Apr,17,1,2
118,2020-04-27,2020,4,27,0,Monday,April,Apr,18,0,2
119,2020-04-28,2020,4,28,1,Tuesday,April,Apr,18,0,2
120,2020-04-29,2020,4,29,2,Wednsday,April,Apr,18,0,2
121,2020-04-30,2020,4,30,3,Thursday,April,Apr,18,0,2
122,2020-05-01,2020,5,1,4,Friday,May,May,18,0,2
123,2020-05-02,2020,5,2,5,Saturday,May,May,18,1,2
124,2020-05-03,2020,5,3,6,Sunday,May,May,18,1,2
125,2020-05-04,2020,5,4,0,Monday,May,May,19,0,2
126,2020-05-05,2020,5,5,1,Tuesday,May,May,19,0,2
127,2020-05-06,2020,5,6,2,Wednsday,May,May,19,0,2
128,2020-05-07,2020,5,7,3,Thursday,May,May,19,0,2
129,2020-05-08,2020,5,8,4,Friday,May,May,19,0,2
130,2020-05-09,2020,5,9,5,Saturday,May,May,19,1,2
131,2020-05-10,2020,5,10,6,Sunday,May,May,19,1,2
132,2020-05-11,2020,5,11,0,Monday,May,May,20,0,2
133,2020-05-12,2020,5,12,1,Tuesday,May,May,20,0,2
134,2020-05-13,2020,5,13,2,Wednsday,May,May,20,0,2
135,2020-05-14,2020,5,14,3,Thursday,May,May,20,0,2
136,2020-05-15,2020,5,15,4,Friday,May,May,20,0,2
137,2020-05-16,2020,5,16,5,Saturday,May,May,20,1,2
138,2020-05-17,2020,5,17,6,Sunday,May,May,20,1,2
139,2020-05-18,2020,5,18,0,Monday,May,May,21,0,2
140,2020-05-19,2020,5,19,1,Tuesday,May,May,21,0,2
141,2020-05-20,2020,5,20,2,Wednsday,May,May,21,0,2
142,2020-05-21,2020,5,21,3,Thursday,May,May,21,0,2
143,2020-05-22,2020,5,22,4,Friday,May,May,21,0,2
144,2020-05-23,2020,5,23,5,Saturday,May,May,21,1,2
145,2020-05-24,2020,5,24,6,Sunday,May,May,21,1,2
146,2020-05-25,2020,5,25,0,Monday,May,May,22,0,2
147,2020-05-26,2020,5,26,1,Tuesday,May,May,22,0,2
148,2020-05-27,2020,5,27,2,Wednsday,May,May,22,0,2
149,2020-05-28,2020,5,28,3,Thursday,May,May,22,0,2
150,2020-05-29,2020,5,29,4,Friday,May,May,22,0,2
151,2020-05-30,2020,5,30,5,Saturday,May,May,22,1,2
152,2020-05-31,2020,5,31,6,Sunday,May,May,22,1,2
153,2020-06-01,2020,6,1,0,Monday,June,Jun,23,0,2
154,2020-06-02,2020,6,2,1,Tuesday,June,Jun,23,0,2
